Publication Years	Record Count	% of 712
2019	70	9.831
2017	68	9.551
2020	63	8.848
2018	55	7.725
2015	50	7.022
2016	48	6.742
2012	47	6.601
2013	46	6.461
2014	46	6.461
2021	43	6.039
2009	32	4.494
2010	27	3.792
2011	21	2.949
2008	20	2.809
2007	19	2.669
2004	12	1.685
2006	8	1.124
2000	5	0.702
2005	5	0.702
1998	4	0.562
2002	4	0.562
2003	3	0.421
1992	2	0.281
1994	2	0.281
1996	2	0.281
1999	2	0.281
2001	2	0.281
1926	1	0.140
1967	1	0.140
1970	1	0.140
1976	1	0.140
1995	1	0.140
1997	1	0.140
