species_id	genome_name	genome_id	is_rep_genome	count_genomes	genus	species	pathogen	gram_profile
Staphylococcus_epidermidis_57523	Staphylococcus epidermidis NIH05001	979221.3	1	93	Staphylococcus	Staphylococcus epidermidis	0	p
Streptococcus_parasanguinis_58126	Streptococcus parasanguinis F0449	1095733.3	1	3	Streptococcus	Streptococcus parasanguinis	0	p
Streptococcus_salivarius_58022	Streptococcus salivarius	1304.156	1	4	Streptococcus	Streptococcus salivarius	0	p
Streptococcus_sanguinis_58161	Streptococcus sanguinis SK1	888807.3	1	6	Streptococcus	Streptococcus sanguinis	0	p
Subdoligranulum_variabile_61478	Subdoligranulum variabile DSM 15176	411471.5	1	1	Subdoligranulum	Subdoligranulum variabile	0	n
Veillonella_dispar_61763	Veillonella dispar ATCC 17748	546273.3	1	1	Veillonella	Veillonella dispar	0	n
Veillonella_parvula_57794	Veillonella parvula ATCC 17745	686660.3	1	5	Veillonella	Veillonella parvula	0	n
Acinetobacter_baumannii_56211	Acinetobacter baumannii 263903-1	1310678.3	1	16	Acinetobacter	Acinetobacter baumannii	1	n
Acinetobacter_baumannii_57014	Acinetobacter baumannii BJAB0868	1096997.4	1	952	Acinetobacter	Acinetobacter baumannii	1	n
Acinetobacter_calcoaceticus_57657	Acinetobacter calcoaceticus TG19588	1221294.3	1	8	Acinetobacter	Acinetobacter calcoaceticus	1	n
Acinetobacter_junii_57406	Acinetobacter junii MTCC 11364	1330047.3	1	7	Acinetobacter	Acinetobacter junii	1	n
Acinetobacter_lwoffii_58233	Acinetobacter lwoffii NCTC 5866 = CIP 64.10	981327.3	1	12	Acinetobacter	Acinetobacter lwoffii	1	n
Bacillus_anthracis_57688	Bacillus anthracis str. Vollum	261591.4	1	115	Bacillus	Bacillus anthracis	1	p
Bacillus_cereus_57918	Streptococcus pneumoniae SMRU1024	1313.12055	1	91	NA	NA	1	p
Bacillus_cereus_57982	Bacillus cereus CER057	1053198.3	1	32	Bacillus	Bacillus cereus	1	p
Bacteroides_ureolyticus_58254	Campylobacter ureolyticus	827.3	1	2	Campylobacter	Campylobacter ureolyticus	1	n
Bartonella_bacilliformis_54763	Bartonella bacilliformis INS	1206782.3	1	12	Bartonella	Bartonella bacilliformis	1	n
